technical_name,business_name,status,products,rb_datasets,api_feeds,definition
,Item Abandonment Count,APPROVED,6:Digital Landscapes,,,The number of add-to-cart and buy now instances where a specified product(s) was removed from cart or not purchased within seven days.
,Keyword Share,APPROVED,6:Digital Landscapes,,,"The share of product clicks, product detail page (PDP) views or add-to-carts for a product that can be attributed to a specific keyword."
,# category opportunity customers,APPROVED,1:Shopper Behavior,,,"The number of customers who purchase products within a specific category in your target sales channel, but have not yet purchased your brand or product."
,# total opportunity customers,APPROVED,1:Shopper Behavior,,,"The number of customers who are purchasing any products within your target sales channel, but have not yet purchased your brand or product."
,% brand first purchase on product,APPROVED,1:Shopper Behavior,,,The percentage of new brand customers who bought each product as their first purchase in the category.
,% growth in sales (units),APPROVED,10:Assortment Deep Dive,,,The percentage change in sales units between the previous and latest periods.
,% growth in sales (value),APPROVED,10:Assortment Deep Dive,,,The percentage change in sales value between the previous and latest periods.
,% product first purchasers repeating on total brand,APPROVED,1:Shopper Behavior,,,The percentage of customers from the % Brand First Purchase on Product measure who continued to make purchases from the brand.
,ACV (all commodity volume),APPROVED,1:Shopper Behavior;10:Assortment Deep Dive,,,ACV(All Commodity Volume) is a metric used to compare product sales across stores of different sizes and distribution levels. Rather than simply looking at raw sales numbers—which can be misleading if products are sold in a varying number of stores—ACV adjusts (or “upweights”) sales figures to estimate how a product would perform if it were available in all stores within the channel.
,ACV ROS weighted (units),APPROVED,10:Assortment Deep Dive,,,Estimated weekly unit sales if the product was at full distribution (sold in every store).
,ACV ROS weighted (value),APPROVED,10:Assortment Deep Dive,,,Estimated weekly sales value if the product was at full distribution (sold in every store).
,ACV weighted ROS (distribution),APPROVED,1:Shopper Behavior,,,"ACV (All Commodity Volume) weighted ROS (Rate of Sale) (distribution) is the total spend of stores – where the selected product group was sold – divided by the total spend for all stores. This is calculated for the selected period, geography, and profile."
,ACV weighted ROS (sales),APPROVED,1:Shopper Behavior,,,ACV (All Commodity Volume) weighted ROS (Rate of Sale) sales estimates the sales value of the product if it had been sold in an average store during an average week.
,ACV weighted ROS (units),APPROVED,1:Shopper Behavior,,,ACV (All Commodity Volume) weighted ROS (Rate of Sale) units estimates the unit sales value of the product if it had been sold in an average store during an average week.
